Work,Date
Replacement of old electrical wirings and fitment of new switch boards in the Measurement Lab.,2018-12-20 00:00:00
Requirement of one light connection with holder on wash basin.,2018-12-24 00:00:00
"Some tube lights, CFLs and one no. MCB are not working in Health Centre.",2018-12-24 00:00:00
Two 40 w Tube lights are not working in Signal Processing Lab.,2018-12-24 00:00:00
One tube light is not working in the Chamber of Dr. Shewta Tripathi.,2018-12-24 00:00:00
Requirement of one no. 15 amp. power board and also sparking in being in one no. electric board in office of Mathematics Dept.,2018-12-24 00:00:00
One button holder is not working.,2018-12-24 00:00:00
Required 05 nos. 15 amp three pin sockets with MCB to provide. Power supply in 05 nos. CNC machine in CAM Lab.,2018-12-26 00:00:00
Two no. power plugs are not working.,2018-12-27 00:00:00
One no. socket is not working the kitchen.,2018-12-27 00:00:00
Tube light is not working in chamber of Dr. Ashutosh Mani.,27-12-2018 
One no. old ceiling fan is not working,2018-12-28 00:00:00
Main switch of quarter no. G-36 is burnt.,2018-12-28 00:00:00
A wiring if window AC is required in D-4.,2018-12-28 00:00:00
Requirement of one no. tube light and one choke in GEW-17,2018-12-28 00:00:00
Requirement of one no. 15 amp. power combined in C-25.,2018-12-31 00:00:00
63 amp 4 pole eclectic isolator in burnt in B-23.,2018-12-31 00:00:00
Requirement of electrical wiring for the advanced equipment in my chamber( Dr. Harinder Singh),2018-12-31 00:00:00
Proper lighting in inside of Cycle stand in IH-B  ,2018-10-01 00:00:00
Package ACs Operation in MP Hall  ,2018-10-01 00:00:00
"Electrical Items Required (power combined, plug tap , wire & etc. )",2018-10-01 00:00:00
Re-Installation of geyser in Malviya Hostel  ,2018-10-03 00:00:00
"Electrical Items Required Isolator , MCB , wire & etc. ",03-1032018
Wiring in bathroom ,2018-10-04 00:00:00
"Latter of department welcome function for AC Operation, proper lighting & etc.  In Seminor Hall ",2018-10-04 00:00:00
"Electrical Items Require (Switc, shocke , chock & etc. ",2018-10-05 00:00:00
"Electrical Items Required (Switc, shocke , chockt & etc. ",2018-10-05 00:00:00
current leakage in water cooler ,2018-10-09 00:00:00
MCB triping in PG Hostel ,2018-10-11 00:00:00
Water cooler repairing ,2018-10-15 00:00:00
Proper lighting in outer areas of KNG Hostel.,17.10.2018
AC Opretion in Institute Seminor Hall ,2018-10-24 00:00:00
AC Opretion in Institute MP Hall ,2018-10-25 00:00:00
Installation of 32Amp. Main switch in PG Hostel ,26-10-20108
proper lihting in outside bathroom & mess areas ,2018-10-26 00:00:00
Pump not working of STP ,2018-10-29 00:00:00
"Fixing of LED Light in various location SAC (SAC Office ,Reading room , Conference Room & etc.",2018-10-29 00:00:00
Proper LED Street light in gtae of Raman/Tagore Hostel ,2018-10-29 00:00:00
Fan high noise room no. 441,2018-10-01 00:00:00
Fan not working room no.223,2018-10-01 00:00:00
Fan not working room no.526,2018-10-01 00:00:00
Fan is very slow room no.114,2018-10-01 00:00:00
Fan is very slow room no.609,2018-10-02 00:00:00
Sound in fan room no. 132,2018-10-02 00:00:00
Tubelight is fused room no. 231,2018-10-02 00:00:00
Tubelight is not working room no. 541,2018-10-02 00:00:00
Sound in fan room no. 202,2018-10-02 00:00:00
Fan very slow room no. 539,2018-10-03 00:00:00
Fan very slow room no. 723,2018-10-03 00:00:00
Fan very slow room no. 422,2018-10-03 00:00:00
Fan goes off completely room no. 539,2018-10-03 00:00:00
Sound in fan  room no. 701,2018-10-03 00:00:00
Tubelight are not working room no. 701,2018-10-03 00:00:00
Tubelight are not working room no. 315,2018-10-03 00:00:00
Fan not working room no. 536,2018-10-04 00:00:00
Fan not working room no. 406,2018-10-04 00:00:00
Fan not working room no. 429,2018-10-04 00:00:00
Fan not working room no. 435,2018-10-04 00:00:00
Tubelight not working room no. 633,2018-10-04 00:00:00
Tubelight not working room no. 111,2018-10-05 00:00:00
Fan very slow room no. 111,2018-10-05 00:00:00
Fan very slow room no. 306,2018-10-05 00:00:00
Fan not working properly room no. 314,2018-10-06 00:00:00
Fan not working room no. 624,2018-10-06 00:00:00
Fan not working room no. 503,2018-10-07 00:00:00
Water not cooling of water cooler T-72,2018-10-07 00:00:00
Pipe leakage T-41,2018-10-07 00:00:00
Pipe leakage T-33,2018-10-07 00:00:00
